state,total_employee,annual_median_wage,living_cost,no_of_comp,lat,long
Alabama,51990,85100,22330,26767,32.31823,-86.902298
Alaska,5050,88440,32090,4279,66.160507,-153.369141
Arizona,114420,92810,26810,62909,34.048927,-111.093735
Arkansas,24210,76150,22960,12571,34.799999,-92.199997
California,695480,128690,34870,617678,36.778259,-119.417931
Colorado,131570,106770,26510,95205,39.113014,-105.358887
Connecticut,48730,100730,29600,49091,41.599998,-72.699997
Delaware,17080,105560,26760,13014,39,-75.5
District of Columbia,48720,118710,38570,39837,38.9072,-77.0369
Florida,273100,85820,26050,206140,27.994402,-81.760254
Georgia,166930,99330,22450,123135,33.247875,-83.441162
Hawaii,13040,87360,46630,6855,19.741755,-155.844437
Idaho,18870,77730,25240,11701,44.068203,-114.742043
Illinois,187150,96780,23470,179628,40,-89
Indiana,63510,76490,22780,62972,40.273502,-86.126976
Iowa,38820,83140,22610,26976,42.032974,-93.581543
Kansas,40260,81500,22180,29117,38.5,-98
Kentucky,38610,75110,24050,23871,37.839333,-84.27002
Louisiana,22360,70960,23720,25254,30.39183,-92.329102
Maine,13710,78000,29220,11321,45.367584,-68.972168
Maryland,141700,110420,31430,88127,39.045753,-76.641273
Massachusetts,154790,109250,37940,148303,42.407211,-71.382439
Michigan,118860,85020,23370,96634,44.182205,-84.506836
Minnesota,99250,99610,24710,89630,46.39241,-94.63623
Mississippi,13770,69050,21540,7409,33,-90
Missouri,87450,81920,22580,65412,38.573936,-92.60376
Montana,8790,69620,26560,6835,46.96526,-109.533691
Nebraska,32210,82850,23290,18418,41.5,-100
Nevada,25750,78000,26160,24428,39.876019,-117.224121
New Hampshire,24040,99980,29420,20683,44,-71.5
New Jersey,158360,106470,28490,120780,39.833851,-74.871826
New Mexico,20530,82780,23820,9260,34.307144,-106.018066
New York,284680,106360,34090,288746,43,-75
North Carolina,172210,102370,24250,91822,35.782169,-80.793457
North Dakota,7720,73200,24610,5713,47.650589,-100.437012
Ohio,156640,86560,23290,129912,40.367474,-82.996216
Oklahoma,35500,78350,21750,24378,36.084621,-96.921387
Oregon,62170,97030,30720,50910,44,-120.5
Pennsylvania,173700,86170,24890,139448,41.203323,-77.194527
Rhode Island,16210,101440,28610,11247,41.742325,-71.742332
South Carolina,48550,82030,23900,30305,33.836082,-81.163727
South Dakota,9100,73940,23950,5263,44.5,-100
Tennessee,78340,78480,22860,50839,35.860119,-86.660156
Texas,444670,94560,23440,273941,31,-100
Utah,67240,85260,26050,42671,39.41922,-111.950684
Vermont,7670,80410,29370,8819,44,-72.699997
Virginia,241590,109910,26050,140484,37.926868,-78.024902
Washington,204330,128220,28940,99729,47.751076,-120.740135
West Virginia,11190,69320,22810,5094,39,-80.5
Wisconsin,80170,82160,24200,72893,44.5,-89.5
Wyoming,3150,69390,23440,3359,43.07597,-107.290283
