year,state,total_employee,annual_median_wage,no_of_comp
1997,Alabama,,30492.8,790
1997,Alaska,,40934.4,142
1997,Arizona,,27456,1442
1997,Arkansas,,27310.4,385
1997,California,,34985.6,12066
1997,Colorado,,28329.6,2094
1997,Connecticut,,39270.4,1421
1997,Delaware,,36961.6,264
1997,District of Columbia,,38396.8,1067
1997,Florida,,29556.8,4577
1997,Georgia,,31553.6,2811
1997,Hawaii,,34216,223
1997,Idaho,,42057.6,325
1997,Illinois,,28932.8,4860
1997,Indiana,,32780.8,1839
1997,Iowa,,28745.6,911
1997,Kansas,,28017.6,917
1997,Kentucky,,29785.6,758
1997,Louisiana,,27539.2,777
1997,Maine,,29536,348
1997,Maryland,,33425.6,2254
1997,Massachusetts,,35588.8,3627
1997,Michigan,,34694.4,2934
1997,Minnesota,,31699.2,2688
1997,Mississippi,,25688,251
1997,Missouri,,26436.8,1947
1997,Montana,,25916.8,214
1997,Nebraska,,28017.6,612
1997,Nevada,,31740.8,449
1997,New Hampshire,,31220.8,638
1997,New Jersey,,39728,3051
1997,New Mexico,,28080,270
1997,New York,,36379.2,6825
1997,North Carolina,,27393.6,2229
1997,North Dakota,,26332.8,227
1997,Ohio,,33176,3945
1997,Oklahoma,,28537.6,713
1997,Oregon,,30388.8,1356
1997,Pennsylvania,,40955.2,3963
1997,Rhode Island,,38147.2,355
1997,South Carolina,,30742.4,811
1997,South Dakota,,24003.2,164
1997,Tennessee,,29182.4,1380
1997,Texas,,29182.4,6183
1997,Utah,,27747.2,919
1997,Vermont,,28516.8,291
1997,Virginia,,30326.4,3053
1997,Washington,,30409.6,2318
1997,West Virginia,,30680,153
1997,Wisconsin,,33425.6,2380
1997,Wyoming,,26187.2,94
1998,Alabama,94740,32280,1623
1998,Alaska,18300,41260,294
1998,Arizona,107430,28170,2995
1998,Arkansas,63330,27890,788
1998,California,770040,36530,25029
1998,Colorado,99470,29880,4355
1998,Connecticut,100840,38450,2914
1998,Delaware,17640,40150,539
1998,District of Columbia,31420,39000,2178
1998,Florida,311750,29640,9489
1998,Georgia,207030,33040,5842
1998,Hawaii,30820,34860,458
1998,Idaho,33980,32750,664
1998,Illinois,299360,28920,9976
1998,Indiana,141840,33780,3751
1998,Iowa,83780,28770,1851
1998,Kansas,79950,28770,1879
1998,Kentucky,94740,30570,1548
1998,Louisiana,105910,30140,1592
