sector,job_title,total_employment,annual_median_wage
Management,Chief Executives,199240,189520
Management,General and Operations Managers,3376680,98100
Management,Legislators,42890,48090
Management,Advertising and Promotions Managers,22010,127830
Management,Marketing Managers,328570,140040
Management,Sales Managers,536390,130600
Management,Public Relations Managers,64280,129430
Management,Fundraising Managers,26240,107390
Management,Administrative Services Managers,236570,103330
Management,Facilities Managers,116980,99030
Management,Computer and Information Systems Managers,533220,164070
Management,Financial Managers,740780,139790
Management,Industrial Production Managers,211710,107560
Management,Purchasing Managers,75070,131350
Management,"Transportation, Storage, and Distribution Managers",169910,98560
Management,Compensation and Benefits Managers,16850,131280
Management,Human Resources Managers,181360,130000
Management,Training and Development Managers,39550,120000
Management,"Farmers, Ranchers, and Other Agricultural Managers",6250,75760
Management,Construction Managers,303220,101480
Management,"Education and Childcare Administrators, Preschool and Daycare",60010,49690
Management,"Education Administrators, Kindergarten through Secondary",285910,101320
Management,"Education Administrators, Postsecondary",167060,99940
Management,"Education Administrators, All Other",50180,89130
Management,Architectural and Engineering Managers,197180,159920
Management,Food Service Managers,231100,61310
Management,Gambling Managers,4800,80710
Management,"Entertainment and Recreation Managers, Except Gambling",22950,67220
Management,Lodging Managers,39870,61910
Management,Medical and Health Services Managers,476750,104830
Management,Natural Sciences Managers,82570,144440
Management,Postmasters and Mail Superintendents,13460,82760
Management,"Property, Real Estate, and Community Association Managers",261120,60670
Management,Social and Community Service Managers,162880,74240
Management,Emergency Management Directors,11290,79180
Management,Funeral Home Managers,13680,72110
Management,"Personal Service Managers, All Other",8840,56090
Management,"Managers, All Other",543290,128620
Business and Financial Operations,"Agents and Business Managers of Artists, Performers, and Athletes",13130,82530
Business and Financial Operations,Buyers and Purchasing Agents,464880,67620
Business and Financial Operations,"Claims Adjusters, Examiners, and Investigators",285270,72230
Business and Financial Operations,"Insurance Appraisers, Auto Damage",11430,69380
Business and Financial Operations,Compliance Officers,359640,71690
Business and Financial Operations,Cost Estimators,225310,71200
Business and Financial Operations,Human Resources Specialists,835360,64240
Business and Financial Operations,Farm Labor Contractors,550,49330
Business and Financial Operations,Labor Relations Specialists,62200,82010
Business and Financial Operations,Logisticians,202970,77520
Business and Financial Operations,Project Management Specialists,843910,95370
Business and Financial Operations,Management Analysts,808860,95290
Business and Financial Operations,"Meeting, Convention, and Event Planners",112070,52560
Business and Financial Operations,Fundraisers,94630,61190
Business and Financial Operations,"Compensation, Benefits, and Job Analysis Specialists",93550,67780
Business and Financial Operations,Training and Development Specialists,367180,63080
Business and Financial Operations,Market Research Analysts and Marketing Specialists,798620,68230
Business and Financial Operations,"Business Operations Specialists, All Other",1081230,75990
Business and Financial Operations,Accountants and Auditors,1402420,78000
Business and Financial Operations,Property Appraisers and Assessors,59970,61560
Business and Financial Operations,Budget Analysts,48430,82260
Business and Financial Operations,Credit Analysts,71960,78850
Business and Financial Operations,Financial and Investment Analysts,291370,95080
Business and Financial Operations,Personal Financial Advisors,283060,95390
Business and Financial Operations,Insurance Underwriters,105900,76230
Business and Financial Operations,Financial Risk Specialists,55800,102120
Business and Financial Operations,Financial Examiners,63370,82210
Business and Financial Operations,Credit Counselors,29090,47320
Business and Financial Operations,Loan Officers,345550,65740
Business and Financial Operations,"Tax Examiners and Collectors, and Revenue Agents",50610,57950
Business and Financial Operations,Tax Preparers,82370,48250
Business and Financial Operations,"Financial Specialists, All Other",127020,73810
Computer and Mathematical,Computer Systems Analysts,505210,102240
Computer and Mathematical,Information Security Analysts,163690,112000
Computer and Mathematical,Computer and Information Research Scientists,33780,136620
Computer and Mathematical,Computer Network Support Specialists,168920,68050
Computer and Mathematical,Computer User Support Specialists,696830,57890
Computer and Mathematical,Computer Network Architects,173920,126900
Computer and Mathematical,Database Administrators,80520,99890
Computer and Mathematical,Database Architects,62470,134870
Computer and Mathematical,Network and Computer Systems Administrators,325930,90520
Computer and Mathematical,Computer Programmers,132740,97800
Computer and Mathematical,Software Developers,1534790,127260
Computer and Mathematical,Software Quality Assurance Analysts and Testers,196420,99620
Computer and Mathematical,Web Developers,88620,78580
Computer and Mathematical,Web and Digital Interface Designers,97350,83240
Computer and Mathematical,"Computer Occupations, All Other",416320,98740
Computer and Mathematical,Actuaries,25010,113990
Computer and Mathematical,Mathematicians,2070,112110
Computer and Mathematical,Operations Research Analysts,105080,85720
Computer and Mathematical,Statisticians,30780,98920
Computer and Mathematical,Data Scientists,159630,103500
Computer and Mathematical,"Mathematical Science Occupations, All Other",3840,71700
Architecture and Engineering,"Architects, Except Landscape and Naval",107490,82840
Architecture and Engineering,Landscape Architects,18120,73210
Architecture and Engineering,Cartographers and Photogrammetrists,13270,71890
Architecture and Engineering,Surveyors,47770,63080
Architecture and Engineering,Aerospace Engineers,61580,126880
Architecture and Engineering,Agricultural Engineers,1500,83260
Architecture and Engineering,Bioengineers and Biomedical Engineers,19210,99550
Architecture and Engineering,Chemical Engineers,20380,106260
Architecture and Engineering,Civil Engineers,307570,89940
Architecture and Engineering,Computer Hardware Engineers,74640,132360
Architecture and Engineering,Electrical Engineers,182210,103320
Architecture and Engineering,"Electronics Engineers, Except Computer",106640,108170
Architecture and Engineering,Environmental Engineers,45440,96530
Architecture and Engineering,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",21520,100660
Architecture and Engineering,Industrial Engineers,321400,96350
Architecture and Engineering,Marine Engineers and Naval Architects,7450,96910
Architecture and Engineering,Materials Engineers,21510,100140
Architecture and Engineering,Mechanical Engineers,277560,96310
Architecture and Engineering,"Mining and Geological Engineers, Including Mining Safety Engineers",7390,97490
Architecture and Engineering,Nuclear Engineers,12250,122480
Architecture and Engineering,Petroleum Engineers,20540,131800
